"Character","Creator","Alignment","Alter_Egos","Eye_color","Hair_color","Species","IQ","Intelligence","Strength","Combat","Durability"
"Nova (Worldmind)","Marvel Comics","None","Nova","None","None","None",200,100,100,85,100
"Nova Prime","Marvel Comics","Good","None","Blue","Black","Alien",150,75,100,70,85
"Now (House of Ideas)","Marvel Comics","Neutral","None","White","Black / Blue","Cosmic Entity",200,100,100,100,100
"Nox","Netflix","Bad","None","Blue / White","White","Human",115,60,25,55,45
"Noxxxious","Marvel Comics","Bad","None","White","No Hair","Symbiote",200,100,100,100,100
"NRG","Cartoon Network","Good","None","Green","None","Alien",125,65,50,40,95
"Nu-13","None","None","None","None","None","None",150,75,100,100,100
"Nubia","DC Comics","Good","None","Brown","Black","Amazon",180,90,95,100,100
"Nuckalavee","None","None","None","None","None","None",200,100,100,100,100
"Nug And Yeb","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Nuidis Vulko","DC Comics","Good","None",NA,"Black","Atlantean",130,65,30,90,20
"Nuke","Marvel Comics","Bad","None","Blue","Blond","Human",120,60,15,90,20
"Nul","Marvel Comics","Bad","Cosmic Immortal Hulk,Doc Green,Ego Hulk,Hulk,Hulk,Hulk,Hulk,Hulkpool,Immortal Hulk,Indestructible Hulk,Kluh,Maestro,Merged Hulk,Mr. Fixit,Old Man Hulk,Professor Hulk,Starship Hulk,War,World Breaker Hulk",NA,"No Hair","God / Eternal",150,75,100,80,100
"Null The Living Darkness","Marvel Comics","Bad","None","Black",NA,"Demon",200,100,100,100,100
"Number 96","Shueisha","Bad","None","Gold",NA,"Demon",160,80,30,90,30
"Numidium","None","None","None","None","None","None",200,100,100,100,100
"Nunu","Riot Games","Good","None",NA,NA,"Human",80,40,30,20,20
"Nurgle","None","None","None","None","None","None",200,100,100,100,100
"Nurse","None","Bad","None","Gold","No Hair","Robot",100,50,80,35,40
"Nusuku","None","None","None","None","None","None",200,100,100,100,100
"Ny-Rakath","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Nya Water Ninja","Lego","Good","None","Black","Black","Human",165,85,25,100,30
"Nyaghoggua","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Nyarlathotep","None","None","Nya","None","None","None",200,100,100,85,100
"Nycrama","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Nyctelios","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Nyogtha","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Nyoninzo","Shueisha","None","None","None","None","None",200,100,100,100,100
"Nyssa Al Ghul","DC Comics","Bad","None","Hazel","Brown","Human",150,75,5,90,10
"Nyx","None","Bad","None","Black","Black","God / Eternal",200,100,100,100,100
"Nyx (House Of Ideas)","Marvel Comics","None","None","Black","Black","Olympian",200,100,100,100,100
"Nzykmulk","DC Comics","Bad","None","Blue","White","God / Eternal",190,95,100,25,100
"O-Kagachi","Hasbro","Bad","None",NA,NA,"Deity",180,90,100,60,80
"Ob Nixilis (Post-Mending)","Hasbro","Bad","None","Red",NA,"Demon",145,75,50,80,55
"Obelix","Dargaud","Good","None",NA,"Red","Human",100,50,30,40,25
"Oberyn Martell","George R. R. Martin","Good","None",NA,NA,"Human",130,65,1,65,5
"Obi-Wan (Ghost)","George Lucas","None","None","None","None","None",110,55,10,70,100
"Odin","Marvel Comics","Good","None","Blue","White","Asgardian",200,100,100,100,100
"Odin (1,000,000 B.C)","Marvel Comics","None","Iron All Father,Odin,Odin,Odin","Blue","White","Asgardian",200,100,100,100,100
"Odin (Destroyer Armor)","Marvel Comics","Good","None","Blue","White","Asgardian",200,100,100,100,100
"Odin (Infinity)","Marvel Comics","Good","Iron All Father,Odin,Odin,Odin",NA,NA,"Asgardian",200,100,100,100,100
"Odin (Surtur Force)","Marvel Comics","Good","Iron All Father,Odin,Odin,Odin","Blue","White","Asgardian",200,100,100,100,100
"Odius","None","None","None","None","None","None",30,15,95,30,20
"Odval","Matt Groening","None","None","None","None","None",110,55,5,25,10
"Odysseus","DC Comics","Bad","None","Green","Grey","Human",180,90,25,100,30
"Ōetsu Nimaiya","Shueisha","Good","None",NA,"Black","Spirit",130,65,50,80,40
"Offspring","None","None","None","None","None","None",120,60,75,35,100
"Oggy","Cartoon Network","None","None","None","None","None",80,40,14,45,20
"Ohma Tokita","Shogakukan","Good","None","Brown","Brown / Black","Human",130,65,25,90,15
"Okamaitachi","Shueisha","Good","None","Black","Black","Human",130,65,55,95,25
"Okino","Lego","Good","None",NA,NA,"None",125,65,30,100,45
"Okoye","Marvel Comics","Good","None",NA,NA,"Human",130,65,6,80,5
"Okuyasu","Shueisha","None","None","None","None","None",75,40,35,25,15
"Olaf","Riot Games","Neutral","Olaf",NA,"Red","Human",110,55,25,80,20
"Olaf (Sentinel of Light)","Riot Games","Good","Olaf",NA,"Red","Human",110,55,25,80,30
"Old Ben Kenobi","George Lucas","Good","Obi-Wan Kenobi,Obi-Wan Kenobi","Blue","White","Human",170,85,25,75,55
"Old King Phoenix Thor","Marvel Comics","Good","None","Blue / White","Grey","Asgardian",200,100,100,100,100
"Old King Thor","Marvel Comics","Good","All-father Thor,All-Father Thor,Cosmic King Thor,Destroyer,Destroyer Thor,Golden Thor,Lord Thor,Necro King Thor,Necro Thor,Rune King Thor,Thor,Thor,Thor,Thor,Thor,Thor,Thor,Thor,Thor,Thorr,World Breaker Thor","Blue","White","Asgardian",190,95,100,100,100
"Old Man Logan","Marvel Comics","Neutral","None","None","None","Mutant",140,70,25,100,60
"Old Man Phoenix","Marvel Comics","Good","None","White","Grey","Mutant",140,70,100,85,100
"Old Man Punisher (Power Cosmic)","Marvel Comics","Good","Cosmic Ghost Phoenix Rider,Franken-Castle,Old Man Castle,Punisher","Blue","White","Human",130,65,50,90,45
"Oldfather","Marvel Comics",NA,"None",NA,NA,"None",200,100,100,100,100
"Olive","None","Good","None","Blue",NA,"None",80,40,30,5,15
"Oliver","None","Good","None","Green",NA,"Animal",50,25,5,30,10
"Olivier","Marvel Comics","Bad","None","Yellow","Black","Demon",130,65,30,70,35
"Olivier Armstrong","Square Enix","Good","None","Blue","Blond","Human",110,55,1,25,7
"Olivier Gaillard","Shueisha","Bad","None","Orange","Blue","Human",160,80,1,80,50
"Olivier Raven","Marvel Comics","Good","None","Brown","Brown","Human",130,65,1,55,10
"Olkoth","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Olórin (True form)","J. R. R. Tolkien","Good","None",NA,NA,"Maiar",200,100,100,60,100
"Omega (Megaman Zero)","Capcom","None","None","None","None","None",200,100,100,100,75
"Omega Of The Thanosi","Marvel Comics","Bad","None","Black","No Hair","Eternal",200,100,100,90,100
"Omega Red","Marvel Comics","Bad","None","Red","Blond","None",120,60,25,70,20
"Omega Supreme","Hasbro","None","None","None","None","None",90,45,75,100,45
"Omega Weapon","Square Enix","None","None","None","None","None",60,30,100,40,90
"Omegamon (Alter-S)","Shueisha","Good","Omnimon",NA,NA,"None",150,75,100,100,100
"Omen","DC Comics","Good","None","Green","Red","Human",130,65,1,45,10
"Omnath","Hasbro","Neutral","None","No eyes","No Hair","Energy",120,60,100,50,80
"Omne","Sega","Neutral","None","Blue","Black","Demon",200,100,100,90,100
"Omni-King","Shueisha","Neutral","None","Black","No Hair","Cosmic Entity",110,55,100,50,100
"Omni-Man","Image Comics","Neutral","None","Blue","Black","Alien",150,75,100,80,55
"Omnibrine","Microsoft","Bad","None","White","Brown","Deity",200,100,100,100,100
"Omnimon","Shueisha","Good","Omegamon","Blue","No Hair","None",150,75,100,100,100
"OmniShoutmon","None","Good","Shoutmon","Blue",NA,"Dragon",80,40,50,70,60
"Omnitron","None","Bad","Omnitron-X","Red","No Hair","Robot",190,95,100,50,65
"Omnitron-X","None","Good","Omnitron","Red","No Hair","Robot",190,95,75,60,55
"Onaan","Skybound","Bad","None","Black","Black","None",110,55,100,100,45
"Onaga","Mortal Kombat","None","None","None","None","None",140,70,55,100,40
"One Above All","Marvel Comics","Neutral","None","None","None","Celestials",200,100,100,100,100
"One Punch Man","Shueisha","Good","None","Brown","No Hair","Human",100,50,100,85,100
"Oneg","Marvel Comics","Neutral","None","No eyes","No Hair","Celestials",200,100,100,70,100
"Oni","Capcom","None","None","None","None","None",130,65,30,100,35
"Onibaba","Universal Studios","Bad","None",NA,NA,"Kaiju",70,35,75,15,25
"Onikage","Activision Blizzard","Bad","None","Black","Black","Human",140,70,25,100,25
"Onimar Synn","DC Comics","Bad","None","Yellow","No Hair","Demon",160,80,75,80,60
"Onoki","Shueisha","Good","None","Black","White","Human",140,70,50,100,30
"Onslaught","Marvel Comics","Bad","None","Red","No Hair","Mutant",190,95,100,80,100
"Oozaru","Shueisha","None","Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Golden Oozaru,Kakarot (Dragon Ball Sai),Kid Goku,Son Goku","None","None","None",60,30,100,95,100
"Opal Koboi","None","Bad","None",NA,NA,"None",170,85,1,5,6
"Operations Officer Alex","Activision Blizzard","Good","None","Blue","Brown","None",120,60,6,60,8
"Ophidian","DC Comics","Bad","None","Orange",NA,"Cosmic Entity",200,100,100,50,100
"Optimus Primal","IDW Publishing","Good","None",NA,NA,"Robot",160,80,30,60,25
"Optimus Prime","IDW Publishing","Good","None",NA,"Blue","Robot",185,95,100,100,100
"Optimus Prime (G1)","Hasbro","None","None","None","None","None",170,85,100,100,55
"Oracle","DC Comics","Good","None",NA,"No Hair","Cosmic Entity",200,100,100,40,100
"Orange Lantern","DC Comics","None","Black Lantern,Green Lantern,Green/Blue Lantern,Parallax,Parallax,Red Lantern,Spectre,Spectre,White Lantern,Yellow Lantern","None","None","None",150,75,100,65,100
"Orbital 7","Shueisha","None","None","None","None","None",150,75,25,50,20
"Oregano","Shueisha",NA,"None","Black","White","None",90,45,85,65,40
"Oren","Shueisha","Bad","None","Blue","White","Android",160,80,100,100,95
"Orendi","Gearbox Software","None","None","None","None","None",110,55,15,75,50
"Orga (Millennium)","IDW Publishing","Bad","None","Orange","No Hair","Kaiju",100,50,80,15,40
"Orgalorg","Cartoon Network","None","None","None","None","None",200,100,75,15,55
"Orianna","Riot Games","Neutral","None","Blue","Gold","Human",135,70,6,15,15
"Orihime Inoue","Shueisha","Good","None","Brown","Orange","Human",140,70,10,75,40
"Orion","DC Comics","None","None","None","None","None",160,80,75,65,85
"Orion (Anti-Life Equation)","DC Comics","None","None","None","None","None",200,100,100,100,100
"Orion (Soulfire Formula)","DC Comics",NA,"None","Red","Red","New God",190,95,100,95,100
"Orion (True Form)","DC Comics","None","None",NA,NA,"None",200,100,100,100,100
"Orm","None","None","None","None","None","None",200,100,100,100,100
"Ornn","Riot Games","Good","None","Red","Red","Demi-God",150,75,75,60,55
"Orochi","SNK","Bad","None","Grey","White","God / Eternal",187,95,100,100,95
"Orochi Rugal (King of Fighters '95)","SNK","Bad","God Rugal,Omega Rugal,Rugal","White / Red","White","Human",187,95,90,100,95
"Orochimaru","Shueisha","Bad","None","Hazel","Black","Human",170,85,35,100,50
"Orom�","J. R. R. Tolkien","Good","None",NA,NA,"God / Eternal",200,100,100,100,100
"Orordius","Marvel Comics","Bad","None","Blue","White","Human",130,65,1,50,30
"Orphan","DC Comics","Good","Batgirl,Black Bat","Brown","Black","Human",140,70,1,100,10
"Orryx","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Ortho Shroud","Disney",NA,"None","Yellow","Blue","Human",160,80,1,50,20
"Orthos","None","Good","None","Red","No Hair","Animal",110,55,100,95,45
"Oryx, the Taken King","Activision Blizzard","Bad","None","Yellow / Green","No Hair","God / Eternal",200,100,100,100,100
"Osamu Dazai","Kodansha","None","None","None","None","None",160,80,8,65,8
"Oshtur","Marvel Comics",NA,"None",NA,NA,"None",180,90,100,65,95
"Osiris","None","None","None","None","None","None",200,100,100,100,100
"Ossë","J. R. R. Tolkien","Good","None",NA,NA,"None",180,90,100,60,80
"Otachi","Universal Studios","Bad","None",NA,NA,"Kaiju",110,55,75,40,30
"Other (Spider-Totem)","Marvel Comics","None","None","None","None","Cosmic Entity",190,95,75,50,55
"Othuyeg","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Otr","Wildstorm","None","None","None","None","None",80,40,60,40,75
"Otsutsuki God","Shueisha","Neutral","None",NA,NA,"Cosmic Entity",190,95,75,70,80
"Penelope Blossom","None","None","None","None","None","None",140,70,1,25,5
"Penguin","DC Comics","Bad","None","Blue","Black","Human",175,90,1,45,10
"Penguin (2022)","DC Comics","Bad","None",NA,NA,"Human",130,65,1,20,10
"Penny","Disney","Bad","None",NA,"Black","Human",130,65,1,25,5
"Pennywise","Stephen King","Bad","None","None","None","God / Eternal",130,65,50,50,25
"Pennywise (True Form)","Stephen King","None","None","None","None","None",160,80,100,50,100
"Penthesileia","None","None","None","None","None","None",120,60,65,95,35
"Pepper Potts (Extremis)","Marvel Comics","None","None","None","None","None",125,65,25,35,20
"Peppy","None","Good","None","Yellow / Green","Pink","Human",130,65,25,60,30
"Percival","Sega","Good","None","Red","No Hair","None",140,70,75,80,70
"Percy","Warner Brothers","Bad","None","Blue","Grey","Human",140,70,1,80,10
"Percy Jackson","Rick Riordan","Good","Percy Jackson","Green / Blue","Black","Demi-God",140,70,100,90,55
"Percy Jackson (Curse Of Achilles)","Rick Riordan","None","None","None","None","None",180,90,95,100,100
"Percy Jackson (FOX)","Rick Riordan","Good","None","Green / Blue","Black","Demi-God",110,55,25,60,20
"Percy Jackson (Hosting Nekhbet)","Rick Riordan","None","Percy Jackson","None","None","None",180,90,100,100,100
"Perdissa","DC Comics",NA,"None","Blue","Blond","God / Eternal",200,100,100,100,100
"Perfect K.O","Cartoon Network","Good","K.O,T.K.O","Gold","Brown","Human",130,65,100,75,85
"Perfect Storm","Marvel Comics","Bad","None","White","White","Human",130,65,10,65,15
"Peridot","Cartoon Network","Good","None","Green","Green","Alien",170,85,18,30,60
"Pernida","Shueisha","Bad","None",NA,NA,"None",125,65,100,80,40
"Perpetua","DC Comics","Bad","None","Yellow","Black","God / Eternal",200,100,100,100,100
"Perro","Marvel Comics","Bad","None","Black","Black","Human",130,65,25,30,20
"Perry The Platypus","Disney","Good","None","Brown",NA,"Animal",140,70,1,70,8
"Persuader","DC Comics","None","None","None","None","None",120,60,50,75,40
"Perturabo","Warhammer 40K","None","None","None","None","None",190,95,100,100,90
"Peryite","None","None","None","None","None","None",200,100,100,100,100
"Pesci","Shueisha","Bad","None","Black","Green","Human",130,65,1,80,5
"Pesky Dust","Cartoon Network","Good","None","Green","Blue","Alien",100,50,1,20,30
"Pesta","None","None","None","None","None","None",120,60,5,35,10
"Pestilence","Marvel Comics",NA,"None",NA,NA,"Human",130,65,5,40,35
"Pet Shop","None","Bad","None","Blue","Brown","Animal",109,55,1,45,1
"Petaldramon","Shueisha","Bad","Arbormon",NA,NA,"None",90,45,75,55,55
"Peter Griffin","Disney","Neutral","None",NA,NA,"Human",96,50,85,55,45
"Petey Piranha","Nintendo","Bad","None","No eyes","No Hair","None",80,40,100,30,80
"Petra","Marvel Comics","Good","None","Blue","Blond","Mutant",109,55,1,20,15
"Ph.D Pikachu","Nintendo","Neutral","Detective Pikachu,Libre Pikachu,Pikachu,Pop Star Pikachu","None","None","None",150,75,50,50,30
"Phage","Hasbro","Bad","Jeska,Karona",NA,"Black","Human",130,65,10,70,35
"Phage (Carnage-Infested)","Marvel Comics","Bad","Phage","White","No Hair","Alien",100,50,25,70,50
"Phage (Klyntar Symbiote)","Marvel Comics","Neutral","Phage","White","No Hair","Alien",100,50,25,70,50
"Phantasmaraneae","Sega","Bad","None","No eyes","Black","Demon",120,60,40,60,40
"Phantom Dharak","Sega","Bad","Evolved Razenoid","Red","No Hair","None",140,70,100,90,100
"Phantom Lady","DC Comics","Good","None","Blue","Black","None",170,85,1,45,30
"Phantom Spectre","DC Comics","Good","None","Green",NA,"Cosmic Entity",200,100,100,70,100
"Phantom Stranger","DC Comics","Neutral","None","Black","Black","God / Eternal",195,100,100,35,100
"Phantom Virus","Hanna-Barbera","Bad","None","Yellow",NA,"Energy",130,65,25,50,50
"Phantom Wraith","DC Comics","None","None","None","None","None",130,65,50,50,60
"Pharah","Activision Blizzard","Good","None","Black","Black","Human",110,55,13,45,15
"Pharaoh 90","Kodansha","Bad","None",NA,NA,"None",198,100,100,80,85
"Pharaoh Atem","Shueisha","Good","Yami Yugi,Yugi Muto","Purple","Purple","Human",160,80,1,45,5
"Phastos","Marvel Comics","Good","None","Brown","Black","Eternal",150,75,30,65,25
"Phatty","Marvel Comics","Good","None","Blue","Blond","Human",100,50,25,25,10
"Phil","Nickelodeon","Good","None","Black","Orange / White","Human",132,65,6,75,20
"Phil Billings","Cartoon Network","Bad","None",NA,"Grey","Human",150,75,85,90,75
"Philemon","None","None","None","None","None","None",200,100,100,100,100
"Philippe Neve","Shueisha","None","None","Green","Magenta","Human",160,80,1,80,50
"Philippus","DC Comics","None","None","None","None","None",110,55,75,75,35
"Phillip Jeffries (Mechanized Form)","None","None","Phillip Jeffries","None","None","None",200,100,100,100,100
"Phobos","None","Neutral","None","Blue","Black / Blue","Human",150,75,25,55,30
"Phoebe Cuckoo","Marvel Comics","None","None","Blue","Blond","Human",110,55,25,15,70
"Phoenix","Marvel Comics","Bad","Thane","None","No Hair","Titanian",180,90,100,95,100
"Phoenix (1,000,000 BC)","Marvel Comics","Good","None","Green","Red","None",140,70,100,70,100
"Phoenix (Battle World)","Marvel Comics","None","Captain Krakoa,Cyclops,Cyclops,Dark Phoenix","None","None","None",200,100,100,80,100
"Phoenix (Echo)","Marvel Comics","Good","Echo","Brown","Black","Human",200,100,100,100,100
"Phoenix Carpenter","Electronic Arts","Good","None","Brown","Black","Human",120,60,5,50,10
"Phoenix Force","Marvel Comics","Neutral","None","None","None","Cosmic Entity",200,100,100,100,100
"Phoenix Ikki","Shueisha","Good","None","Blue","Blue","Human",160,80,85,90,100
"Phoenix Man","Shueisha","Bad","None","Green","Red","None",120,60,25,40,20
"Photon","Marvel Comics","Bad","Captain Mar-vell","Blue",NA,"Kree",200,100,100,100,100
"Piandao","Dark Horse Comics","Good","None","Grey","Grey","Human",150,75,10,100,15
"Piccolo","Shueisha","None","None","None","None","None",100,50,25,50,40
"Piccolo (Dragon Ball GT)","Shueisha","Good","Piccolo","Black","No Hair","Alien",160,80,100,100,85
"Pickle","None","Neutral","None","Brown","Black","Human",70,35,55,20,30
"Pico","Newgrounds","Good","None","White","Orange","Human",100,50,55,90,70
"Pidgeot","Nintendo","Neutral","None","Black",NA,"Pok�mon",90,45,25,30,30
"Pidgeotto","Nintendo","Neutral","None","Black","Red","Pok�mon",80,40,13,20,25
"Piece","07th Expansion","None","None","None","None","None",200,100,100,100,100
"Pieck Finger","Kodansha","Neutral","None","Brown","Black","None",140,70,1,70,10
"Pied Piper","DC Comics","Neutral","None","Blue","Blond","Human",160,80,1,35,10
"Piedmon","Shueisha","Bad","None",NA,NA,"Demi-God",145,75,100,100,100
"Pierce Wheels","Cartoon Network","Good","None","Brown","Blue","Human",140,70,10,95,15
"Pikachu","Nintendo","None","Detective Pikachu,Libre Pikachu,Ph.D Pikachu,Pop Star Pikachu","Blue","None","Animal",110,55,25,60,40
"Pikkon","Shueisha","Good","None","Red","None","None",140,70,100,100,85
"Pilina","Shueisha","None","None","Black","No Hair","None",110,55,100,100,100
"Pilot Jack Cooper","None","Good","None","Brown","Black","None",130,65,13,65,10
"Pinhead","Clive Barker","Bad","None",NA,"None","Human",130,65,75,50,45
"Pink Mystic Ranger","Power Rangers","None","None","None","None","None",100,50,50,95,50
"Pinky Pie","Hasbro","None","None","None","None","None",140,70,45,35,65
"Piper McLean","Rick Riordan","Good","None",NA,"Brown","Demi-God",130,65,50,75,45
"Pit","Nintendo","Good","None","Blue","Brown","None",105,55,50,70,75
"Pixie","Marvel Comics","Good","None","Pink","Pink","Mutant",130,65,10,50,20
"Pizza Dog","Marvel Comics","Good","None","Brown","Gold","Animal",80,40,1,10,5
"Plagg","Disney","None","None","Green","Black","Cosmic Entity",80,40,1,10,100
"Plague","Marvel Comics","Bad","None","White","Purple","None",120,60,30,65,25
"Plague Bride","None","None","None","None","None","None",185,95,100,80,100
"Plague Rat","None","Bad","None","Green","Brown","Human",80,40,25,40,20
"Plague Spawn","Image Comics","Bad","Divine Spawn,God Spawn,Hell King Spawn,Omega Spawn,Resurrection Spawn,Spawn,Spawn","Yellow / Red","No Hair","Demon",161,80,75,80,90
"Planet-Eater Moro","Shueisha","Bad","Moro,Moro (Merus Powers),Planet Moro","Red","White","Alien",180,90,100,100,90
"Planetina","Cartoon Network","Neutral","None",NA,NA,"None",130,65,25,70,40
"Plankton","None","None","None","None","None","None",167,85,1,7,55
"Plasma-Man","DC Comics","Bad","None","Red","Black","Vampire",120,60,75,90,50
"Plastic Man","DC Comics","Good","None","Blue","Black","Human",130,65,30,70,20
"Plastique","DC Comics","None","None","None","None","None",150,75,1,40,15
"Platinum","DC Comics","Good","None","Silver","Silver","Android",130,65,30,35,35
"Playable Archer","Type-Moon","None","None","None","None","None",200,100,100,100,100
"Playable Caster","Type-Moon","None","None","None","None","None",200,100,100,100,100
"Plo Koon","George Lucas","None","None","None","None","None",100,50,10,65,10
"Pluto","Marvel Comics","None","None","None","None","None",160,80,100,70,100
"Pneuma","Nintendo","Good","Mythra,Pyra","Green","Green","None",170,85,25,60,100
"Pod-2","Marvel Comics","Good","Enigma","Blue","Blond","Human",140,70,95,65,95
"Pogg Ur-Pogg","Marvel Comics","None","None","None","None","None",62,30,25,60,16
"Poison Ivy","DC Comics","Bad","None","Green","Red","Human",120,60,25,20,30
"Poseidon","Rick Riordan","Good","None","None","None","None",190,95,100,95,80
"Possessor","Marvel Comics","Neutral","None","Black","Grey","Alien",190,95,30,70,20
"Power","Shueisha","None","None",NA,NA,"None",110,55,10,70,20
"Power Girl","DC Comics","Good","None","Blue","Blond","Kryptonian",150,75,100,70,85
"Power Loader","Shueisha","Good","None","Blue","Orange","Human",110,55,1,65,15
"Powerplex","Skybound","Bad","None","Green","Blond","Human",140,70,10,50,35
"Praetorian Marauder Graves (Pulsefire)","Riot Games","Bad","None","Red",NA,"Robot",140,70,25,50,25
"Pralaya","DC Comics","Bad","Pralaya","None","None","Cosmic Entity",200,100,100,100,100
"Pralaya (True Form)","DC Comics","None","Pralaya",NA,NA,"None",200,100,100,100,100
"Preacher","DC Comics","Good","None","Black","Black","Human",120,60,1,55,10
"Predator","Dark Horse Comics","Bad","None","None","None","Yautja",140,70,30,90,50
"Prelate Rasputin","Marvel Comics","Bad","None","White","No Hair","Mutant",120,60,30,25,40
"Present Mic","Shueisha","Good","None","Red","Blond","Human",120,60,25,70,15
"President Haltman","Nintendo","Bad","None","Teal","Purple","Android",170,85,1,5,10
"President Kathleen Spencer","Warner Brothers",NA,"None","Blue","Blond","Human",120,60,1,40,10
"President Superman","DC Comics","Good","None","Black","Black","Kryptonian",170,85,100,75,100
"Pride","Square Enix","Bad","None","Purple","Black","Inhuman",108,55,1,85,30
"Priestess Quinn","None","None","None","None","None","None",200,100,100,100,100
"Primal Groudon","Nintendo","Neutral","Groudon","Yellow","No Hair","None",190,95,100,90,100
"Primal Kyogre","Nintendo","Neutral","Kyogre","Orange","No Hair","None",190,95,100,90,100
"Primal Spectre","DC Comics",NA,"Red Lantern,Spectre Oversoul,The Spectre",NA,NA,"None",200,100,100,100,100
"Prime","None","None","None","None","None","None",130,65,30,45,30
"Primer Infantry (EDF5)","None","Bad","Tadpole","Black","No Hair","Alien",100,50,35,30,20
"Primer Mobile Fortress (EDF5)","None","Bad","None","No eyes","No Hair","Robot",100,50,100,30,50
"Primo","Shueisha","Bad","None","Red","Silver","None",160,80,25,80,30
"Primus","Hasbro","None","None","None","None","None",200,100,100,50,100
"Prince Dastan","Ubisoft","None","None","None","None","None",115,60,5,90,10
"Prince Nuada","Dark Horse Comics","Bad","None","Blue","Blond","God / Eternal",150,75,25,90,25
"Prince Of Power (Power Stone)","Marvel Comics",NA,"None","Blue","Blond","Alien",80,40,100,15,75
"Prince Phillip","Disney","Good","None",NA,NA,"Human",110,55,50,35,15
"Princess Azula","Dark Horse Comics","Bad","None","Hazel","Black","None",160,80,25,85,35
"Princess Fiona","Dreamworks","Good","None",NA,"Orange","None",112,55,25,70,20
"Princess Kakyuu","Kodansha","Good","None","Red","Red","Human",150,75,100,95,85
"Princess Layla","Nickelodeon","Good","None","Blue","Brown","Human",125,65,50,50,50
"Princess Leia","George Lucas","None","None","None","None","None",100,50,5,35,5
"Princess Leia (Dark Empire)","George Lucas","Good","Princess Leia (Jedi)",NA,NA,"None",150,75,25,95,50
"Princess Leia (Jedi)","George Lucas","Good","Princess Leia","Brown","Brown","None",160,80,18,70,55
"Princess Peach","Nintendo","Good","None","Blue","Blond","Human",93,45,25,80,40
"Princess Rosalina","Nintendo","Good","None","Blue","Blond","God / Eternal",185,95,100,70,100
"Princess Zelda","Nintendo","Good","None","Green / Blue","Blond","Elf",148,75,25,90,45
"Prinz","Shueisha","Good","None",NA,"Black","Demon",110,55,15,35,15
"Prism Break","Activision Blizzard","Good","None","Amber","No Hair","None",95,50,5,15,13
"Prismarine Colossus (Story Mode)","Microsoft","Bad","None","Green / Blue","No Hair","None",90,45,85,35,30
"Prismo","Cartoon Network","None","None",NA,NA,"Cosmic Entity",200,100,100,50,100
"Private Jack Mitchell","Activision Blizzard","Good","None","Blue","Brown","None",120,60,25,60,10
"Prodigal","Marvel Comics","Good","None","Orange","Black","Alien",170,85,100,80,90
"Professor Dumbledore","J. K. Rowling","Good","None","Blue","White","Human",160,80,1,65,10
"Professor Eulalie Hicks","J. K. Rowling","Good","None","Brown","Brown / Black","None",150,75,1,55,10
"Professor Farnsworth","Matt Groening","Good","None",NA,"No Hair","Human",180,90,1,10,5
"Professor Hulk","Marvel Comics","Good","Bruce Banner,Hulk,Hulk,Hulk","Green","Black","Human",170,85,90,70,45
"Professor McGonagall","J. K. Rowling","Good","None","None","None","None",150,75,1,60,10
"Professor Paradox","Cartoon Network","Good","None","Black","Black","Human",170,85,25,80,12
"Professor Pyg","DC Comics","Bad","None","Hazel","No Hair","Human",160,80,5,60,10
"Professor Severus Snape","J. K. Rowling","Good","None","Black","Black","Human",155,80,1,65,10
"Professor X","Marvel Comics","Good","None","Blue","No Hair","Mutant",180,90,1,20,5
"Professor X (Cerebro Helmet)","Marvel Comics","Neutral","None","Blue","No Hair","Mutant",180,90,5,30,5
"Professor X (Earth 838)","Marvel Comics","Good","Professor X","Blue","No Hair","Mutant",160,80,1,5,5
"Professor X (Old)","Marvel Comics","None","Professor X","None","None","None",140,70,1,1,1
"Progenitus","Hasbro","Neutral","None",NA,NA,"Deity",180,90,100,50,80
"Project 77","None","Good","None","Green","No Hair","Robot",160,80,60,85,60
"Prometheus","DC Comics","Bad","None","Blue","White","Human",180,90,10,95,12
"Prophet","None","None","None","None","None","None",170,85,50,100,50
"Prosciutto","Shueisha","Bad","None","Blue","Blond","Human",160,80,5,70,10
"Protector","Marvel Comics","Good","None","Blue","White","Kree",180,90,90,85,85
"Protege","Marvel Comics","Bad","None","Blue","Black / Blue","None",200,100,100,100,100
"Proteus","Marvel Comics","Good","None","White","No Hair","Human",140,70,5,25,100
"Protogene Monster (Cosmoball)","None","Good","None","Blue","White","None",110,55,100,55,50
"Prowler","Marvel Comics","Neutral","None",NA,"No Hair","Human",120,60,5,70,10
"Proxima Midnight","Marvel Comics","Bad","None","White",NA,"None",140,70,30,95,40
"Prudence Blackwood","None","None","None","None","None","None",120,60,1,25,5
"Prum","Shueisha",NA,"None","Yellow","No Hair","None",120,60,20,55,30
